SQ1,SQ2,SQ3,SQ5,SQ7,SQ8,Q2_7,Q2_8,Q2_9,Q2_10,Q4_1,Q5_2,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q12_2,Q14_2,Q17,Q18,Q19,Q20,Q22,Q23,Q28,Q29,Q30,Q31,Q38,Q39,Q41
2,26,14,7,27,1,6,6,6,7,2,11,7,8,7,6,7,6,7,4,8,60,3,5,6,1,2,1,27,3,1,1,2,14
1,47,13,7,25,2,7,7,6,7,2,9,6,7,6,6,6,6,6,17,4,40,3,2,2,1,2,11,,,1,1,3,5
2,54,12,7,25,2,6,6,7,7,3,2,4,4,5,5,5,5,5,18,8,120,3,10,3,1,3,1,8,4,3,2,8,4
1,32,40,7,8,1,7,7,7,7,3,1,6,6,6,6,6,6,7,4,2,180,2,3,5,1,1,1,8,3,2,2,3,2
1,53,13,7,24,1,6,5,7,6,3,4,6,6,6,6,6,6,6,18,8,60,2,2,1,1,3,2,,,3,1,3,7
1,39,27,7,24,2,6,6,6,6,2,2,6,6,6,6,6,6,6,4,1,90,1,2,1,1,2,5,,,4,2,3,8
1,27,38,7,8,1,8,8,8,8,2,1,7,8,7,7,7,7,7,1,9,7,1,10,2,1,3,1,8,9,1,2,3,4
2,40,40,7,12,2,5,6,5,6,3,8,5,5,5,5,5,5,5,18,8,30,1,2,1,1,3,1,28,,4,6,8,2
2,28,32,7,8,1,7,6,9,9,2,9,7,8,5,5,7,7,7,18,2,15,1,2,2,1,1,1,8,2,5,2,7,14
2,27,26,7,24,1,6,6,6,6,4,7,7,4,3,4,4,3,3,18,8,60,2,3,2,1,2,1,8,2,1,2,3,5
2,25,3,7,8,2,8,8,8,8,2,3,8,8,7,8,8,7,8,2,2,60,4,3,1,1,2,1,8,3,1,4,3,4
1,40,47,7,25,1,5,10,10,10,2,8,10,10,10,10,10,10,10,5,8,45,4,4,1,1,2,4,,,1,2,3,14
2,30,14,7,8,1,7,8,8,8,2,9,8,8,8,8,8,8,7,18,28,45,1,3,4,1,2,1,28,,1,2,7,5
2,42,13,7,8,1,6,6,6,6,2,3,7,7,6,7,6,7,7,3,2,60,1,6,4,1,2,1,8,3,1,1,3,5
2,40,11,7,8,2,6,6,8,8,3,7,6,6,5,7,7,5,6,5,28,15,1,3,1,1,2,1,8,2,4,6,7,4
2,39,47,7,8,2,5,5,6,5,2,13,7,6,8,6,7,6,7,18,9,60,4,10,1,1,2,1,28,,1,1,2,1
2,32,13,7,2,2,7,3,7,6,3,7,6,6,6,6,6,6,6,18,12,90,6,5,2,1,3,2,,,3,1,3,6
2,40,28,7,8,1,10,10,10,10,1,9,10,10,10,10,10,10,10,9,28,60,4,3,1,1,2,7,,,1,2,3,11
2,68,27,7,12,2,7,7,7,7,3,11,8,7,7,7,8,8,8,6,28,30,3,3,1,1,2,6,,,1,6,8,5
1,51,24,7,20,1,6,6,6,6,3,2,6,6,6,6,6,6,6,18,28,7,3,5,2,1,2,1,28,,1,1,3,6
1,32,2,8,8,2,6,6,6,8,3,11,8,7,8,8,6,8,10,18,11,14,1,3,4,1,2,1,8,3,4,6,3,7
2,33,41,7,2,1,7,7,7,7,2,13,6,7,6,6,7,6,7,10,28,30,3,2,1,1,3,8,,,4,6,8,4
1,30,14,7,8,2,8,8,8,7,2,9,8,7,6,7,7,8,7,18,28,7,3,2,1,3,2,1,8,1,1,1,2,3
2,44,13,7,8,2,8,8,9,8,2,11,8,8,4,6,8,8,8,3,28,30,1,5,2,1,2,1,8,2,4,2,3,9
2,54,14,7,2,1,7,6,7,6,2,14,7,7,6,6,7,7,6,18,8,60,1,3,3,2,1,3,,,3,1,8,3
1,39,11,7,8,1,8,7,8,7,2,7,6,6,7,7,7,7,7,6,2,30,1,3,2,1,3,1,8,6,1,6,4,7
2,39,40,7,8,1,5,6,6,5,3,2,5,5,5,4,6,5,5,4,28,20,3,2,3,2,1,6,,,2,1,3,4
1,36,14,7,24,2,2,2,2,2,3,11,6,6,6,3,6,6,5,18,8,30,2,2,2,1,1,1,8,2,3,2,3,10
1,51,28,7,8,1,5,5,5,5,3,11,5,5,5,5,5,5,5,18,28,7,2,5,1,1,2,1,8,2,1,2,3,10
1,57,14,7,8,2,5,5,6,6,3,10,5,6,6,5,5,6,5,4,28,60,1,10,2,1,2,1,28,,4,1,9,1
2,36,13,7,20,2,8,8,8,8,2,19,7,7,7,7,8,7,7,5,28,20,3,3,1,1,2,4,,,4,1,3,4
1,43,28,7,25,1,1,5,5,5,4,9,5,5,3,3,5,3,3,5,8,14,1,3,1,1,2,1,8,6,4,1,3,6
2,33,4,7,27,2,5,5,7,7,2,13,8,7,6,6,8,7,8,18,2,30,4,5,1,5,3,1,2,10,3,6,8,6
1,38,22,7,8,1,5,7,7,8,2,7,8,5,5,10,8,10,8,5,2,75,1,3,3,1,2,1,8,6,4,2,3,8
2,26,12,7,8,1,7,7,7,7,2,13,8,8,7,7,8,8,8,3,28,30,1,5,1,1,2,1,8,3,2,1,4,6
2,69,2,7,9,2,8,8,8,8,2,8,7,7,7,7,7,8,8,17,21,30,3,1,1,1,2,11,,,1,1,9,2
2,31,13,7,25,2,8,8,7,6,2,13,6,6,6,6,6,8,6,18,8,45,1,2,1,1,2,1,25,1,1,1,3,5
2,51,14,7,6,1,9,8,9,7,3,9,7,7,5,8,8,8,9,4,28,60,1,5,1,1,2,1,6,6,1,5,2,3
2,25,27,7,24,1,8,8,8,6,2,11,6,8,5,8,5,7,7,15,8,60,3,6,3,1,2,9,,,1,1,8,3
1,35,23,7,8,2,8,8,8,8,2,9,8,8,8,8,8,8,8,5,2,10,1,2,1,2,2,1,8,1,2,6,4,10
1,27,13,7,9,1,8,9,10,7,1,3,8,9,6,10,9,10,9,14,8,21,3,3,2,1,2,5,,,4,1,3,5
2,32,13,7,8,1,3,4,4,5,3,19,5,6,4,7,7,6,7,3,28,20,1,5,4,1,2,10,,,4,6,5,9
2,24,23,7,27,2,8,6,7,8,2,8,8,8,8,8,8,8,9,2,28,60,2,10,6,4,2,9,,,1,1,1,6
2,21,27,8,8,1,3,5,4,3,3,13,5,4,6,5,5,6,5,9,28,1,1,5,4,3,3,1,28,,2,6,7,1
1,37,14,7,21,2,7,7,7,6,2,2,7,7,7,7,7,7,7,4,12,60,3,30,1,1,3,11,,,4,1,4,3
1,58,14,7,8,2,5,5,5,5,3,1,6,6,5,6,6,6,6,4,2,28,1,3,2,2,3,1,2,3,4,1,3,6
1,36,14,7,8,1,6,6,7,7,2,11,7,7,6,7,6,7,7,18,28,60,1,4,1,1,2,1,8,3,3,1,3,6
2,24,40,7,8,1,8,7,9,8,1,11,9,8,9,8,8,7,8,18,28,60,3,5,1,2,1,1,8,10,2,6,7,3
2,54,27,7,12,2,6,6,5,8,3,13,7,8,6,8,8,6,8,5,25,10,1,3,2,1,1,4,,,4,7,8,7
2,39,25,7,8,2,8,8,8,8,2,19,8,8,8,8,8,8,8,18,28,15,1,6,1,3,2,1,8,3,2,2,7,7
1,42,1,7,27,2,10,10,10,10,2,9,7,7,7,7,8,8,8,2,8,60,1,8,7,1,1,9,,,1,2,3,11
2,37,13,7,8,1,8,8,8,8,2,11,9,7,6,9,6,8,9,6,12,30,1,4,3,1,3,1,8,3,4,5,8,4
1,50,14,7,25,2,7,7,7,7,3,7,7,7,7,7,7,7,7,18,28,30,1,3,3,1,2,1,25,1,4,1,3,4
2,31,27,7,2,2,7,6,6,7,2,7,8,8,8,8,7,8,8,18,8,30,2,1,1,1,2,1,8,6,1,1,3,4
2,32,21,7,24,1,6,8,8,7,2,5,7,8,5,7,7,6,7,2,26,2,1,2,1,1,2,3,,,2,5,7,4
2,39,40,7,8,1,1,1,8,5,3,9,8,6,4,10,7,9,6,18,28,180,4,3,3,1,1,1,8,2,4,1,3,10
1,48,10,7,26,2,5,4,5,5,3,3,5,5,5,5,5,5,5,18,2,30,7,2,1,1,3,1,2,6,2,6,3,10
1,22,12,7,1,1,10,9,10,10,1,2,10,9,10,10,10,10,9,2,2,35,3,5,2,2,1,3,,,1,5,1,9
1,60,27,7,8,2,7,7,7,7,2,4,6,6,6,6,5,5,5,4,2,30,1,5,2,2,1,2,,,3,1,3,3
2,33,1,7,8,1,6,7,7,5,3,5,10,8,8,9,10,10,10,4,9,60,1,3,2,1,1,1,8,6,1,2,7,9
2,39,25,7,2,2,6,6,6,6,2,8,6,6,6,6,6,6,7,4,8,38,3,5,1,1,3,9,,,1,2,3,14
2,31,27,7,2,2,7,6,7,8,2,8,7,8,5,8,8,7,9,18,8,30,2,1,1,1,2,1,8,6,1,1,3,4
2,25,13,7,8,1,7,10,10,10,2,10,8,10,8,8,7,7,6,3,25,40,1,5,3,1,1,1,28,,1,2,7,4
2,31,23,7,25,2,5,6,7,6,3,13,7,7,6,6,6,7,8,18,8,30,1,3,1,1,1,1,8,6,4,6,7,5
1,34,23,7,27,1,7,6,7,7,2,7,7,7,6,7,7,7,7,6,28,30,1,2,1,3,3,5,,,2,1,3,4
1,41,4,7,24,1,2,5,7,7,3,11,6,6,4,5,6,4,6,18,28,3,3,2,2,1,2,7,,,4,1,4,6
1,37,13,7,8,2,7,7,8,8,2,8,8,7,7,8,8,8,8,18,28,10,3,5,3,1,3,3,,,4,1,9,2
1,49,28,7,8,1,4,6,9,6,3,9,7,6,8,10,9,10,8,18,2,60,4,10,3,1,1,1,28,,3,1,3,5
1,39,13,7,25,2,6,6,8,9,2,15,6,7,5,8,8,8,6,18,24,30,1,2,2,2,1,1,25,2,2,1,3,11
